playerName,bets,calls,checks,folds,raises,aggression
ccc,3,15,14,0,0,0.0938
danman,3,23,39,0,0,0.0462
Burn_it,3,2,0,0,0,0.5
biged,31,57,68,0,22,0.2978
checkit,1,2,18,0,4,0.2
itkas^,32,3,0,0,36,0.9577
JeffK,4,20,17,0,10,0.2745
^sagerbot,24,14,33,0,18,0.4719
RatedR,0,3,0,0,0,0.5
A8,19,30,56,0,18,0.3008
perch,12,13,17,0,5,0.3617
pliu,22,75,106,0,6,0.134
H2SO4,8,7,4,0,2,0.4762
zgao,3,1,0,0,0,0.5
drdoome,6,5,11,0,1,0.3043
sct,0,3,3,0,2,0.5
godtone,9,29,22,0,5,0.2154
Paul_S,0,0,3,0,0,0.5
ab0,24,44,39,0,14,0.314
jester,0,5,5,0,0,0.0
jrx,28,49,75,0,8,0.225
Shazbot,177,217,468,0,130,0.3095
foldem,9,35,79,0,4,0.1024
Snerd,1,2,5,0,0,0.5
jely,10,12,13,0,5,0.375
Cyrax,6,24,56,0,1,0.0805
affie,2,1,6,0,2,0.3636
semibluf,18,23,13,0,11,0.4462
JohnC,2,2,6,0,4,0.4286
achamber,0,1,3,0,0,0.5
Seth,1,5,3,0,0,0.5
rolf,0,6,10,0,2,0.1111
kul,51,64,56,0,24,0.3846
Mr_Happy,61,104,94,0,79,0.4142
bharat,1,2,5,0,1,0.5
krock,10,24,1,0,27,0.5968
bk,5,5,1,0,7,0.6667
Cutler,14,16,16,0,10,0.4286
PokerMan,2,4,9,0,2,0.2353
bp,1,4,5,0,1,0.1818
bt,1,4,3,0,4,0.4167
licker,4,1,6,0,0,0.3636
sjack,48,143,205,0,35,0.1926
bw,43,44,51,0,31,0.4379
AndreaM,27,32,80,0,27,0.3253
Phlegm,5,21,26,0,1,0.1132
sej,4,6,8,0,2,0.3
_,0,3,0,0,1,0.5
ACC,10,12,18,0,16,0.4643
Ace,9,8,15,0,8,0.425
Grizz,89,94,88,0,81,0.483
doome,7,16,22,0,1,0.1739
kartar,4,6,7,0,0,0.2353
conrad,60,47,113,0,47,0.4007
perfect0,3,6,13,0,6,0.3214
apack,4,0,2,0,1,0.5
bluftru,1,3,2,0,0,0.5
blue,41,50,97,0,33,0.3348
pops,2,4,8,0,0,0.1429
Arby,0,3,6,0,0,0.5
slap,38,19,53,0,34,0.5
fmc,34,58,63,0,23,0.3202
dtgrock,21,18,30,0,11,0.4
Filaman,2,26,45,0,2,0.0533
LiveBait,3,2,3,0,3,0.5455
Liver,0,3,0,0,1,0.5
KHead,60,150,220,0,29,0.1939
DM,117,211,166,0,137,0.4025
rktbot2,1,4,15,0,0,0.05
Omri,6,2,4,0,2,0.5714
BeesiTzu,195,248,189,0,98,0.4014
munch,38,55,58,0,15,0.3193
coolwater,4,9,17,0,4,0.2353
Burge,18,76,119,0,18,0.1558
doc___,3,7,8,0,3,0.2857
Sakti2,25,19,38,0,19,0.4356
Muff,12,3,9,0,9,0.6364
cardshark,3,0,0,0,1,0.5
sallen,15,24,13,0,9,0.3934
Sakthi,21,32,30,0,17,0.38
DocRock,0,1,4,0,1,0.5
SaktiN,2,6,9,0,4,0.2857
loose,0,4,17,0,2,0.087
ahyde,10,19,23,0,27,0.4684
bored,0,7,4,0,1,0.0833
taki,31,37,46,0,21,0.3852
kena,0,3,9,0,2,0.1429
Khayman,8,8,10,0,5,0.4194
Zorbaa,2,6,6,0,6,0.4
Lucifer,8,4,8,0,4,0.5
sagerbot_,5,2,6,0,4,0.5294
sagerbot^,46,49,75,0,29,0.3769
onioneye,0,1,6,0,0,0.5
fatal,8,0,5,0,6,0.7368
shplah,28,17,30,0,10,0.4471
pthief,9,4,8,0,15,0.6667
rotgut,9,10,24,0,5,0.2917
judee,13,43,76,0,9,0.156
houston,2,5,13,0,2,0.1818
mrPink,12,11,26,0,6,0.3273
ferry,14,48,43,0,5,0.1727
Rick,1,8,10,0,5,0.25
cjl,0,3,0,0,1,0.5
ishBone,0,1,3,0,0,0.5
