playerName,round,position,action,potSize,winProb,aggression
MrX,Preflop,0,br,6,0.6253,0.4
MrX,Flop,0,ck,8,0.4769,0.4
MrX,Turn,0,ck,8,0.4972,0.4
MrX,River,0,br,10,0.4202,0.4
MrX,River,0,ck,16,0.4202,0.4
horseplay,Preflop,0,ck,4,0.3848,0.4615
horseplay,Flop,0,br,6,0.4853,0.4615
horseplay,Turn,0,br,10,0.3455,0.4615
horseplay,River,0,ck,12,0.9717,0.4615
horseplay,Preflop,1,ck,4,0.367,0.375
horseplay,Flop,1,ck,4,0.2562,0.375
horseplay,Turn,1,ck,4,0.2167,0.375
horseplay,River,1,ck,4,0.2596,0.375
horseplay,Preflop,0,ck,4,0.5713,0.3636
Gr^zz,Preflop,1,br,6,0.5123,0.2
horseplay,Preflop,0,ck,8,0.5713,0.3636
horseplay,Flop,0,br,10,0.5715,0.3636
Gr^zz,Flop,1,br,14,0.3926,0.2
horseplay,Flop,0,ck,16,0.5715,0.3636
horseplay,Turn,0,ck,16,0.9117,0.3636
Gr^zz,Turn,1,ck,16,0.3938,0.2
horseplay,River,0,br,18,0.9061,0.3636
Gr^zz,River,1,ck,20,0.5111,0.2
MrX,Preflop,0,ck,4,0.4381,0.3333
Gr^zz,Preflop,1,ck,4,0.3206,0.2857
MrX,Flop,0,ck,4,0.249,0.3333
Gr^zz,Flop,1,ck,4,0.1841,0.2857
MrX,Turn,0,ck,4,0.2089,0.3333
Gr^zz,Turn,1,br,6,0.111,0.2857
MrX,Turn,0,ck,8,0.2089,0.3333
MrX,River,0,br,10,0.203,0.3333
Gr^zz,River,1,br,14,0.0091,0.2857
MrX,River,0,ck,16,0.203,0.3333
MrX,Preflop,0,ck,4,0.5341,0.381
Gr^zz,Preflop,1,br,6,0.5837,0.3333
MrX,Preflop,0,ck,8,0.5341,0.381
MrX,Flop,0,br,10,0.7335,0.381
Gr^zz,Flop,1,br,14,0.5853,0.3333
MrX,Flop,0,br,18,0.7336,0.381
Gr^zz,Flop,1,ck,20,0.5854,0.3333
MrX,Turn,0,br,22,0.7865,0.381
Gr^zz,Turn,1,ck,24,0.5491,0.3333
MrX,River,0,ck,24,0.704,0.381
Gr^zz,River,1,ck,24,0.4535,0.3333
MrX,Preflop,0,ck,4,0.6253,0.3704
Gr^zz,Preflop,1,ck,4,0.5473,0.4091
MrX,Flop,0,br,6,0.8238,0.3704
Gr^zz,Flop,1,br,10,0.6042,0.4091
MrX,Flop,0,ck,12,0.8237,0.3704
MrX,Turn,0,ck,12,0.8169,0.3704
Gr^zz,Turn,1,br,14,0.5462,0.4091
MrX,Turn,0,ck,16,0.8169,0.3704
MrX,River,0,br,18,0.9071,0.3704
Gr^zz,River,1,br,22,0.8889,0.4091
MrX,River,0,ck,24,0.9071,0.3704
MrX,Preflop,1,ck,8,0.3507,0.3333
MrX,Flop,1,ck,12,0.3356,0.3333
MrX,Turn,1,ck,16,0.2497,0.3333
MrX,River,1,ck,20,0.0323,0.3333
MrX,Preflop,0,ck,4,0.615,0.3333
Gr^zz,Preflop,1,ck,4,0.5231,0.5333
MrX,Flop,0,br,6,0.594,0.3333
Gr^zz,Flop,1,br,10,0.7341,0.5333
MrX,Flop,0,ck,12,0.594,0.3333
MrX,Turn,0,ck,12,0.5457,0.3333
Gr^zz,Turn,1,br,14,0.8173,0.5333
MrX,Turn,0,ck,16,0.5457,0.3333
MrX,River,0,br,18,0.6737,0.3333
